"","ï..year","thesis","length","shoot1yo","length1yo","rank1yo","c","v","m","b","X.oss","X.newshoots"
"221",2020,"AUTOR","Lo",19,38,12,0,0,1,0,1,1
"222",2020,"AUTOR","Lo",19,38,13,0,0,1,0,1,1
"223",2020,"AUTOR","Lo",19,38,14,0,0,1,0,1,1
"224",2020,"AUTOR","Lo",19,38,15,0,2,0,0,2,1
"225",2020,"AUTOR","Lo",20,38,1,0,1,0,0,1,1
"226",2020,"AUTOR","Lo",20,38,2,0,1,0,0,1,1
"227",2020,"AUTOR","Lo",20,38,3,0,1,0,0,1,1
"228",2020,"AUTOR","Lo",20,38,4,0,0,1,0,1,1
"229",2020,"AUTOR","Lo",20,38,5,0,0,1,0,1,1
"230",2020,"AUTOR","Lo",20,38,6,0,0,1,0,2,0
"231",2020,"AUTOR","Lo",20,38,7,0,0,1,0,1,1
"232",2020,"AUTOR","Lo",20,38,8,0,0,1,0,2,0
"233",2020,"AUTOR","Lo",20,38,9,0,0,1,0,1,1
"234",2020,"AUTOR","Lo",20,38,10,0,0,1,0,1,1
"235",2020,"AUTOR","Lo",20,38,11,0,0,1,0,1,1
"236",2020,"AUTOR","Lo",20,38,12,0,0,1,0,1,1
"237",2020,"AUTOR","Lo",20,38,13,0,0,1,0,1,1
"238",2020,"AUTOR","Lo",20,38,14,0,1,0,0,1,1
"239",2020,"AUTOR","Me",21,11.8,1,0,0,0,1,1,0
"240",2020,"AUTOR","Me",21,11.8,2,0,1,0,0,1,0
"241",2020,"AUTOR","Me",21,11.8,3,0,0,0,1,1,0
"242",2020,"AUTOR","Me",21,11.8,4,4,3,0,0,4,1
"243",2020,"AUTOR","Me",21,11.8,5,3,1,1,0,3,2
"244",2020,"AUTOR","Me",21,11.8,6,0,0,1,0,1,1
"245",2020,"AUTOR","Sh",22,2.5,1,0,1,0,0,1,0
"246",2020,"AUTOR","Sh",22,2.5,2,1,0,0,0,1,1
"247",2020,"AUTOR","Sh",22,2.5,3,1,0,0,0,1,1
"248",2020,"AUTOR","Lo",23,39,1,0,1,0,0,1,1
"249",2020,"AUTOR","Lo",23,39,2,0,0,1,0,1,1
"250",2020,"AUTOR","Lo",23,39,3,0,0,1,0,1,1
"251",2020,"AUTOR","Lo",23,39,4,0,1,1,0,2,1
"252",2020,"AUTOR","Lo",23,39,5,4,5,0,0,6,1
"253",2020,"AUTOR","Lo",23,39,6,0,0,1,0,1,1
"254",2020,"AUTOR","Lo",23,39,7,0,0,1,0,1,1
"255",2020,"AUTOR","Lo",23,39,8,0,0,1,0,1,1
"256",2020,"AUTOR","Lo",23,39,9,0,1,0,0,1,1
"257",2020,"AUTOR","Lo",23,39,10,0,0,1,0,1,1
"258",2020,"AUTOR","Lo",23,39,11,0,0,1,0,1,1
"259",2020,"AUTOR","Lo",23,39,12,0,1,0,0,1,1
"260",2020,"AUTOR","Lo",23,39,13,0,0,1,0,1,1
"261",2020,"AUTOR","Lo",23,39,14,0,1,0,0,1,1
"262",2020,"AUTOR","Sh",24,1.5,1,0,1,0,0,1,1
"263",2020,"AUTOR","Sh",24,1.5,2,0,1,0,0,1,1
"264",2020,"AUTOR","Sh",24,1.5,3,0,0,1,0,1,1
"265",2020,"AUTOR","VLo",25,41.5,1,0,0,1,0,1,1
"266",2020,"AUTOR","VLo",25,41.5,2,0,0,1,0,1,1
"267",2020,"AUTOR","VLo",25,41.5,3,3,0,3,0,4,1
"268",2020,"AUTOR","VLo",25,41.5,4,0,0,1,0,1,1
"269",2020,"AUTOR","VLo",25,41.5,5,0,0,1,0,1,1
"270",2020,"AUTOR","VLo",25,41.5,6,0,0,1,0,1,1
"271",2020,"AUTOR","VLo",25,41.5,7,0,0,1,0,1,1
"272",2020,"AUTOR","VLo",25,41.5,8,0,1,1,0,2,1
"273",2020,"AUTOR","VLo",25,41.5,9,0,0,1,0,1,1
"274",2020,"AUTOR","VLo",25,41.5,10,0,0,1,0,1,1
"275",2020,"AUTOR","VLo",25,41.5,11,0,1,0,0,1,1
"276",2020,"AUTOR","VLo",25,41.5,12,0,1,0,0,1,1
"277",2020,"AUTOR","VLo",25,41.5,13,0,1,0,0,1,1
"278",2020,"AUTOR","VLo",25,41.5,14,0,2,0,0,2,1
"279",2020,"AUTOR","Sh",26,4,1,0,1,0,0,1,0
"280",2020,"AUTOR","Sh",26,4,2,0,0,1,0,1,1
"281",2020,"AUTOR","Sh",26,4,3,0,2,1,0,3,1
"282",2020,"AUTOR","Sh",26,4,4,0,0,2,0,2,1
"283",2020,"AUTOR","Sh",26,4,5,2,1,1,0,3,1
"284",2020,"AUTOR","Lo",27,29.8,1,0,0,1,0,1,1
"285",2020,"AUTOR","Lo",27,29.8,2,1,2,0,0,3,2
"286",2020,"AUTOR","Lo",27,29.8,3,1,0,2,0,3,1
"287",2020,"AUTOR","Lo",27,29.8,4,0,1,3,0,4,1
"288",2020,"AUTOR","Lo",27,29.8,5,0,0,1,0,1,1
"289",2020,"AUTOR","Lo",27,29.8,6,4,1,1,0,3,2
"290",2020,"AUTOR","Lo",27,29.8,7,4,0,1,0,2,1
"291",2020,"AUTOR","Lo",27,29.8,8,5,1,0,0,2,1
"292",2020,"AUTOR","Lo",27,29.8,9,0,1,0,0,1,1
"293",2020,"AUTOR","Lo",27,29.8,10,0,1,0,0,1,1
"294",2020,"AUTOR","Sh",28,4.2,1,0,0,0,1,1,0
"295",2020,"AUTOR","Sh",28,4.2,2,0,1,0,0,1,1
"296",2020,"AUTOR","Sh",28,4.2,3,0,1,0,0,1,1
"297",2020,"AUTOR","Sh",28,4.2,4,0,1,0,0,1,1
"298",2020,"AUTOR","Lo",29,35,1,0,1,0,0,1,1
"299",2020,"AUTOR","Lo",29,35,2,1,0,1,0,2,0
"300",2020,"AUTOR","Lo",29,35,3,1,1,1,0,3,1
"301",2020,"AUTOR","Lo",29,35,4,0,0,1,0,1,1
"302",2020,"AUTOR","Lo",29,35,5,3,1,2,0,4,2
"303",2020,"AUTOR","Lo",29,35,6,7,0,1,0,2,1
"304",2020,"AUTOR","Lo",29,35,7,4,3,0,0,4,2
"305",2020,"AUTOR","Lo",29,35,8,4,1,1,0,3,2
"306",2020,"AUTOR","Lo",29,35,9,4,2,1,0,4,2
"307",2020,"AUTOR","Lo",29,35,10,4,1,0,0,2,1
"308",2020,"AUTOR","Lo",29,35,11,0,0,1,0,1,1
"309",2020,"AUTOR","Lo",29,35,12,1,3,0,0,4,1
"310",2020,"AUTOR","VLo",30,49.6,1,0,1,0,0,1,0
"311",2020,"AUTOR","VLo",30,49.6,2,0,0,0,1,1,0
"312",2020,"AUTOR","VLo",30,49.6,3,0,0,1,0,1,1
"313",2020,"AUTOR","VLo",30,49.6,4,7,0,0,0,1,1
"314",2020,"AUTOR","VLo",30,49.6,5,4,2,3,0,6,2
"315",2020,"AUTOR","VLo",30,49.6,6,0,1,0,0,1,1
"316",2020,"AUTOR","VLo",30,49.6,7,0,0,1,0,1,1
"317",2020,"AUTOR","VLo",30,49.6,8,0,0,1,0,1,1
"318",2020,"AUTOR","VLo",30,49.6,9,0,0,1,0,1,1
"319",2020,"AUTOR","VLo",30,49.6,10,0,0,1,0,1,1
"320",2020,"AUTOR","VLo",30,49.6,11,0,0,1,0,1,1
"321",2020,"AUTOR","VLo",30,49.6,12,0,0,1,0,1,1
"322",2020,"AUTOR","VLo",30,49.6,13,0,0,1,0,1,1
"323",2020,"AUTOR","VLo",30,49.6,14,0,1,0,0,1,1
"324",2020,"AUTOR","VLo",30,49.6,15,0,1,0,0,1,1
"325",2020,"AUTOR","VLo",30,49.6,16,0,1,0,0,1,1
"326",2020,"AUTOR","VLo",30,49.6,17,0,2,0,0,2,1
"327",2020,"AUTOR","Sh",31,3,1,0,0,0,1,1,0
"328",2020,"AUTOR","Sh",31,3,2,2,1,0,0,2,1
"329",2020,"AUTOR","Sh",31,3,3,2,2,0,0,3,0
"330",2020,"AUTOR","Me",32,15.6,1,0,1,0,0,1,0
"331",2020,"AUTOR","Me",32,15.6,2,3,1,0,0,2,2
"332",2020,"AUTOR","Me",32,15.6,3,3,2,2,0,5,1
"333",2020,"AUTOR","Me",32,15.6,4,0,0,1,0,1,1
"334",2020,"AUTOR","Me",32,15.6,5,0,0,1,0,1,1
"335",2020,"AUTOR","Me",32,15.6,6,0,0,1,0,1,1
"336",2020,"AUTOR","Me",32,15.6,7,4,0,1,0,2,1
"337",2020,"AUTOR","Sh",33,4,1,0,0,1,0,1,1
"338",2020,"AUTOR","Sh",33,4,2,0,1,0,0,1,1
"339",2020,"AUTOR","Sh",33,4,3,0,0,1,0,1,1
"340",2020,"AUTOR","Me",34,12.2,1,0,0,1,0,1,1
"341",2020,"AUTOR","Me",34,12.2,2,0,1,0,0,1,1
"342",2020,"AUTOR","Me",34,12.2,3,0,0,1,0,1,1
"343",2020,"AUTOR","Me",34,12.2,4,0,0,1,0,1,1
"344",2020,"AUTOR","Me",34,12.2,5,3,0,4,0,5,2
"345",2020,"AUTOR","Me",34,12.2,6,3,1,3,0,5,2
"346",2020,"AUTOR","Sh",35,2,1,0,1,0,0,1,0
"347",2020,"AUTOR","Sh",35,2,2,0,0,1,0,1,1
"348",2020,"AUTOR","Lo",36,27.6,1,0,0,1,0,1,1
"349",2020,"AUTOR","Lo",36,27.6,2,2,0,4,0,5,2
"350",2020,"AUTOR","Lo",36,27.6,3,4,3,0,0,4,2
"351",2020,"AUTOR","Lo",36,27.6,4,0,0,1,0,1,1
"352",2020,"AUTOR","Lo",36,27.6,5,0,0,1,0,1,1
"353",2020,"AUTOR","Lo",36,27.6,6,0,0,1,0,1,1
"354",2020,"AUTOR","Lo",36,27.6,7,0,0,1,0,1,1
"355",2020,"AUTOR","Lo",36,27.6,8,0,0,1,0,1,1
"356",2020,"AUTOR","Lo",36,27.6,9,0,0,1,0,1,1
"357",2020,"AUTOR","Me",37,18.2,1,0,0,1,0,1,1
"358",2020,"AUTOR","Me",37,18.2,2,0,2,0,0,2,1
"359",2020,"AUTOR","Me",37,18.2,3,0,0,1,0,1,1
"360",2020,"AUTOR","Me",37,18.2,4,0,0,1,0,1,1
"361",2020,"AUTOR","Me",37,18.2,5,0,0,1,0,1,1
"362",2020,"AUTOR","Me",37,18.2,6,0,0,1,0,1,1
"363",2020,"AUTOR","Me",37,18.2,7,0,1,0,0,1,1
"364",2020,"AUTOR","Lo",38,36.5,1,0,1,0,0,1,1
"365",2020,"AUTOR","Lo",38,36.5,2,0,0,1,0,1,1
"366",2020,"AUTOR","Lo",38,36.5,3,0,0,1,0,1,1
"367",2020,"AUTOR","Lo",38,36.5,4,2,0,6,0,7,2
"368",2020,"AUTOR","Lo",38,36.5,5,0,1,0,0,1,1
"369",2020,"AUTOR","Lo",38,36.5,6,0,0,1,0,1,1
"370",2020,"AUTOR","Lo",38,36.5,7,0,0,1,0,1,1
"371",2020,"AUTOR","Lo",38,36.5,8,0,0,1,0,1,1
"372",2020,"AUTOR","Lo",38,36.5,9,0,1,0,0,1,1
"373",2020,"AUTOR","Lo",38,36.5,10,0,2,0,0,2,1
"374",2020,"AUTOR","Sh",39,1,1,0,0,1,0,1,1
"375",2020,"AUTOR","Me",40,18,1,0,1,0,0,1,0
"376",2020,"AUTOR","Me",40,18,2,0,0,0,1,1,0
"377",2020,"AUTOR","Me",40,18,3,0,0,0,1,1,0
"378",2020,"AUTOR","Me",40,18,4,0,1,0,0,1,0
"379",2020,"AUTOR","Me",40,18,5,2,1,0,0,2,2
"380",2020,"AUTOR","Me",40,18,6,3,2,1,0,4,2
"381",2020,"AUTOR","Me",40,18,7,0,1,1,0,2,1
"382",2020,"AUTOR","Me",40,18,8,0,0,1,0,1,1
"383",2020,"AUTOR","Me",40,18,9,0,0,1,0,1,1
"384",2020,"AUTOR","Me",41,5.5,1,1,0,0,0,1,0
"385",2020,"AUTOR","Me",41,5.5,2,0,0,1,0,1,1
"386",2020,"AUTOR","Me",41,5.5,3,3,2,0,0,3,1
"387",2020,"AUTOR","Me",41,5.5,4,4,1,1,0,3,1
"388",2020,"AUTOR","Me",41,5.5,5,0,0,1,0,1,1
"389",2020,"AUTOR","Me",41,5.5,6,0,0,1,0,1,1
"390",2020,"AUTOR","Me",42,7,1,0,1,0,0,1,0
