"tesi","Length","type","shoot","Tree","rank_node","c","v","m","cl","nu","b","tot_buds","new_shoots","n_lateral_buds","n_apical_buds","which_apicals"
"AUTOR",44,"VLo",15,8,10,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",44,"VLo",15,8,11,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",44,"VLo",15,8,12,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",44,"VLo",15,8,13,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",44,"VLo",15,8,14,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",44,"VLo",15,8,15,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",44,"VLo",15,8,16,0,1,0,0,0,0,2,0,1,1,"V"
"AUTOR",33,"Lo",16,8,1,0,0,0,0,0,1,1,1,1,0,NA
"AUTOR",33,"Lo",16,8,2,0,0,0,0,0,1,1,1,1,0,NA
"AUTOR",33,"Lo",16,8,3,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",33,"Lo",16,8,4,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",33,"Lo",16,8,5,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",33,"Lo",16,8,6,0,0,1,2,5,0,1,1,1,0,NA
"AUTOR",33,"Lo",16,8,7,1,0,5,0,0,0,6,1,6,0,NA
"AUTOR",33,"Lo",16,8,8,1,2,0,0,0,0,3,2,3,0,NA
"AUTOR",33,"Lo",16,8,9,1,2,0,0,0,0,3,1,3,0,NA
"AUTOR",33,"Lo",16,8,10,1,2,0,0,0,0,3,1,3,0,NA
"AUTOR",33,"Lo",16,8,11,1,2,0,0,0,0,3,2,3,0,NA
"AUTOR",33,"Lo",16,8,12,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",33,"Lo",16,8,13,1,1,0,0,0,0,2,1,2,0,NA
"AUTOR",33,"Lo",16,8,14,1,0,0,0,0,0,2,0,1,1,"V"
"AUTOR",21,"Lo",17,8,1,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",21,"Lo",17,8,2,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",21,"Lo",17,8,3,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",21,"Lo",17,8,4,0,0,2,1,2,0,2,1,2,0,NA
"AUTOR",21,"Lo",17,8,5,1,1,2,1,2,0,4,2,4,0,NA
"AUTOR",21,"Lo",17,8,6,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",21,"Lo",17,8,7,1,1,0,0,0,0,2,2,2,0,NA
"AUTOR",8.5,"Me",18,8,1,0,0,1,1,1,0,1,1,1,0,NA
"AUTOR",8.5,"Me",18,8,2,0,0,1,1,1,0,1,1,1,0,NA
"AUTOR",8.5,"Me",18,8,3,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",8.5,"Me",18,8,4,1,3,0,0,0,0,4,1,4,0,NA
"AUTOR",8.5,"Me",18,8,5,1,0,2,2,5,0,4,0,3,1,"M"
"AUTOR",38,"Lo",19,8,1,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",38,"Lo",19,8,2,0,0,0,0,0,1,1,0,1,0,NA
"AUTOR",38,"Lo",19,8,3,0,0,0,0,0,1,1,0,1,0,NA
"AUTOR",38,"Lo",19,8,4,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",38,"Lo",19,8,5,1,2,1,0,0,0,4,2,4,0,NA
"AUTOR",38,"Lo",19,8,6,0,0,4,2,6,0,4,2,4,0,NA
"AUTOR",38,"Lo",19,8,7,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",38,"Lo",19,8,8,1,3,0,0,0,0,4,1,4,0,NA
"AUTOR",38,"Lo",19,8,9,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",38,"Lo",19,8,10,1,1,1,1,3,0,3,2,3,0,NA
"AUTOR",38,"Lo",19,8,11,0,0,1,1,1,0,1,1,1,0,NA
"AUTOR",38,"Lo",19,8,12,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",38,"Lo",19,8,13,0,0,1,1,1,0,1,1,1,0,NA
"AUTOR",38,"Lo",19,8,14,0,0,1,1,5,0,1,1,1,0,NA
"AUTOR",38,"Lo",19,8,15,0,1,0,0,0,0,2,0,1,1,"V"
"AUTOR",38,"Lo",20,8,1,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",38,"Lo",20,8,2,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",38,"Lo",20,8,3,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",38,"Lo",20,8,4,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",38,"Lo",20,8,5,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",38,"Lo",20,8,6,0,0,1,1,2,0,1,0,1,0,NA
"AUTOR",38,"Lo",20,8,7,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",38,"Lo",20,8,8,0,0,1,1,1,0,1,0,1,0,NA
"AUTOR",38,"Lo",20,8,9,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",38,"Lo",20,8,10,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",38,"Lo",20,8,11,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",38,"Lo",20,8,12,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",38,"Lo",20,8,13,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",11.8,"Me",21,8,1,0,0,0,0,0,1,1,0,1,0,NA
"AUTOR",11.8,"Me",21,8,2,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",11.8,"Me",21,8,3,0,0,0,0,0,1,1,0,1,0,NA
"AUTOR",11.8,"Me",21,8,4,1,3,0,0,0,0,4,1,4,0,NA
"AUTOR",11.8,"Me",21,8,5,1,1,1,1,1,0,3,2,3,0,NA
"AUTOR",2.5,"Sh",22,8,1,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",2.5,"Sh",22,8,2,1,0,0,0,0,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,1,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,2,0,0,1,1,1,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,3,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,4,0,1,1,0,0,0,2,1,2,0,NA
"AUTOR",39,"Lo",23,8,5,1,5,0,0,0,0,6,1,6,0,NA
"AUTOR",39,"Lo",23,8,6,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,7,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,8,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,9,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,10,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,11,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,12,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",39,"Lo",23,8,13,0,0,1,1,4,0,1,1,1,0,NA
"AUTOR",1.5,"Sh",24,8,1,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",1.5,"Sh",24,8,2,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,1,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,2,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,3,1,0,3,1,3,0,4,1,4,0,NA
"AUTOR",41.5,"VLo",25,8,4,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,5,0,0,1,1,1,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,6,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,7,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,8,0,1,1,1,3,0,2,1,2,0,NA
"AUTOR",41.5,"VLo",25,8,9,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,10,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,11,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,12,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,13,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",41.5,"VLo",25,8,14,0,1,0,0,0,0,2,0,1,1,"V"
"AUTOR",4,"Sh",26,8,1,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",4,"Sh",26,8,2,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",4,"Sh",26,8,3,0,2,1,1,1,0,3,1,3,0,NA
"AUTOR",4,"Sh",26,8,4,0,0,2,1,4,0,2,1,2,0,NA
"AUTOR",4,"Sh",26,8,5,1,1,0,0,0,0,3,0,2,1,"M"
"AUTOR",29.8,"Lo",27,8,1,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",29.8,"Lo",27,8,2,1,2,0,0,0,0,3,2,3,0,NA
"AUTOR",29.8,"Lo",27,8,3,1,0,2,2,2,0,3,1,3,0,NA
"AUTOR",29.8,"Lo",27,8,4,0,1,3,1,1,0,4,1,4,0,NA
"AUTOR",29.8,"Lo",27,8,5,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",29.8,"Lo",27,8,6,1,1,1,1,2,0,3,2,3,0,NA
"AUTOR",29.8,"Lo",27,8,7,1,0,1,1,2,0,2,1,2,0,NA
"AUTOR",29.8,"Lo",27,8,8,1,1,0,0,0,0,2,1,2,0,NA
"AUTOR",29.8,"Lo",27,8,9,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",4.2,"Sh",28,8,1,0,0,0,0,0,1,1,0,1,0,NA
"AUTOR",4.2,"Sh",28,8,2,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",4.2,"Sh",28,8,3,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",35,"Lo",29,8,1,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",35,"Lo",29,8,2,1,0,1,1,2,0,2,0,2,0,NA
"AUTOR",35,"Lo",29,8,3,1,1,1,1,1,0,3,1,3,0,NA
"AUTOR",35,"Lo",29,8,4,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",35,"Lo",29,8,5,1,1,2,0,0,0,4,2,4,0,NA
