year,thesis,length,shoot1yo,length1yo,rank1yo,c,v,m,b,#oss,year,shoot1yo,rank1yo,#newshoots,dead buds
2020,AUTOR,Lo,23,39,7,0,0,1,0,1,2021,23,7,1,0
2020,AUTOR,Lo,23,39,8,0,0,1,0,1,2021,23,8,1,0
2020,AUTOR,Lo,23,39,9,0,1,0,0,1,2021,23,9,1,0
2020,AUTOR,Lo,23,39,10,0,0,1,0,1,2021,23,10,1,0
2020,AUTOR,Lo,23,39,11,0,0,1,0,1,2021,23,11,1,0
2020,AUTOR,Lo,23,39,12,0,1,0,0,1,2021,23,12,1,0
2020,AUTOR,Lo,23,39,13,0,0,1,0,1,2021,23,13,1,0
2020,AUTOR,Lo,23,39,14,0,1,0,0,1,2021,23,14,1,0
2020,AUTOR,Sh,24,1.5,1,0,1,0,0,1,2021,24,1,1,0
2020,AUTOR,Sh,24,1.5,2,0,1,0,0,1,2021,24,2,1,0
2020,AUTOR,Sh,24,1.5,3,0,0,1,0,1,2021,24,3,1,0
2020,AUTOR,VLo,25,41.5,1,0,0,1,0,1,2021,25,1,1,0
2020,AUTOR,VLo,25,41.5,2,0,0,1,0,1,2021,25,2,1,0
2020,AUTOR,VLo,25,41.5,3,3,0,3,0,4,2021,25,3,1,-3
2020,AUTOR,VLo,25,41.5,4,0,0,1,0,1,2021,25,4,1,0
2020,AUTOR,VLo,25,41.5,5,0,0,1,0,1,2021,25,5,1,0
2020,AUTOR,VLo,25,41.5,6,0,0,1,0,1,2021,25,6,1,0
2020,AUTOR,VLo,25,41.5,7,0,0,1,0,1,2021,25,7,1,0
2020,AUTOR,VLo,25,41.5,8,0,1,1,0,2,2021,25,8,1,-1
2020,AUTOR,VLo,25,41.5,9,0,0,1,0,1,2021,25,9,1,0
2020,AUTOR,VLo,25,41.5,10,0,0,1,0,1,2021,25,10,1,0
2020,AUTOR,VLo,25,41.5,11,0,1,0,0,1,2021,25,11,1,0
2020,AUTOR,VLo,25,41.5,12,0,1,0,0,1,2021,25,12,1,0
2020,AUTOR,VLo,25,41.5,13,0,1,0,0,1,2021,25,13,1,0
2020,AUTOR,VLo,25,41.5,14,0,2,0,0,2,2021,25,14,1,-1
2020,AUTOR,Sh,26,4,1,0,1,0,0,1,2021,26,1,0,-1
2020,AUTOR,Sh,26,4,2,0,0,1,0,1,2021,26,2,1,0
2020,AUTOR,Sh,26,4,3,0,2,1,0,3,2021,26,3,1,-2
2020,AUTOR,Sh,26,4,4,0,0,2,0,2,2021,26,4,1,-1
2020,AUTOR,Sh,26,4,5,2,1,1,0,3,2021,26,5,1,-2
2020,AUTOR,Lo,27,29.8,1,0,0,1,0,1,2021,27,1,1,0
2020,AUTOR,Lo,27,29.8,2,1,2,0,0,3,2021,27,2,2,-1
2020,AUTOR,Lo,27,29.8,3,1,0,2,0,3,2021,27,3,1,-2
2020,AUTOR,Lo,27,29.8,4,0,1,3,0,4,2021,27,4,1,-3
2020,AUTOR,Lo,27,29.8,5,0,0,1,0,1,2021,27,5,1,0
2020,AUTOR,Lo,27,29.8,6,4,1,1,0,3,2021,27,6,2,-1
2020,AUTOR,Lo,27,29.8,7,4,0,1,0,2,2021,27,7,1,-1
2020,AUTOR,Lo,27,29.8,8,5,1,0,0,2,2021,27,8,1,-1
2020,AUTOR,Lo,27,29.8,9,0,1,0,0,1,2021,27,9,1,0
2020,AUTOR,Lo,27,29.8,10,0,1,0,0,1,2021,27,10,1,0
2020,AUTOR,Sh,28,4.2,1,0,0,0,1,1,2021,28,1,0,-1
2020,AUTOR,Sh,28,4.2,2,0,1,0,0,1,2021,28,2,1,0
2020,AUTOR,Sh,28,4.2,3,0,1,0,0,1,2021,28,3,1,0
2020,AUTOR,Sh,28,4.2,4,0,1,0,0,1,2021,28,4,1,0
2020,AUTOR,Lo,29,35,1,0,1,0,0,1,2021,29,1,1,0
2020,AUTOR,Lo,29,35,2,1,0,1,0,2,2021,29,2,0,-2
2020,AUTOR,Lo,29,35,3,1,1,1,0,3,2021,29,3,1,-2
2020,AUTOR,Lo,29,35,4,0,0,1,0,1,2021,29,4,1,0
2020,AUTOR,Lo,29,35,5,3,1,2,0,4,2021,29,5,2,-2
2020,AUTOR,Lo,29,35,6,7,0,1,0,2,2021,29,6,1,-1
2020,AUTOR,Lo,29,35,7,4,3,0,0,4,2021,29,7,2,-2
2020,AUTOR,Lo,29,35,8,4,1,1,0,3,2021,29,8,2,-1
2020,AUTOR,Lo,29,35,9,4,2,1,0,4,2021,29,9,2,-2
2020,AUTOR,Lo,29,35,10,4,1,0,0,2,2021,29,10,1,-1
2020,AUTOR,Lo,29,35,11,0,0,1,0,1,2021,29,11,1,0
2020,AUTOR,Lo,29,35,12,1,3,0,0,4,2021,29,12,1,-3
2020,AUTOR,VLo,30,49.6,1,0,1,0,0,1,2021,30,1,0,-1
2020,AUTOR,VLo,30,49.6,2,0,0,0,1,1,2021,30,2,1,0
2020,AUTOR,VLo,30,49.6,3,0,0,1,0,1,2021,30,3,1,0
2020,AUTOR,VLo,30,49.6,4,7,0,0,0,1,2021,30,4,2,1
2020,AUTOR,VLo,30,49.6,5,4,2,3,0,6,2021,30,5,1,-5
2020,AUTOR,VLo,30,49.6,6,0,1,0,0,1,2021,30,6,1,0
2020,AUTOR,VLo,30,49.6,7,0,0,1,0,1,2021,30,7,1,0
2020,AUTOR,VLo,30,49.6,8,0,0,1,0,1,2021,30,8,1,0
2020,AUTOR,VLo,30,49.6,9,0,0,1,0,1,2021,30,9,1,0
2020,AUTOR,VLo,30,49.6,10,0,0,1,0,1,2021,30,10,1,0
2020,AUTOR,VLo,30,49.6,11,0,0,1,0,1,2021,30,11,1,0
2020,AUTOR,VLo,30,49.6,12,0,0,1,0,1,2021,30,12,1,0
2020,AUTOR,VLo,30,49.6,13,0,0,1,0,1,2021,30,13,1,0
2020,AUTOR,VLo,30,49.6,14,0,1,0,0,1,2021,30,14,1,0
2020,AUTOR,VLo,30,49.6,15,0,1,0,0,1,2021,30,15,1,0
2020,AUTOR,VLo,30,49.6,16,0,3,0,0,3,2021,30,16,1,-2
2020,AUTOR,Sh,31,3,1,0,0,0,1,1,2021,31,1,0,-1
2020,AUTOR,Sh,31,3,2,2,1,0,0,2,2021,31,2,1,-1
2020,AUTOR,Sh,31,3,3,2,2,0,0,3,2021,31,3,0,-3
2020,AUTOR,Me,32,15.6,1,0,1,0,0,1,2021,32,1,0,-1
2020,AUTOR,Me,32,15.6,2,3,1,0,0,2,2021,32,2,2,0
2020,AUTOR,Me,32,15.6,3,3,2,2,0,5,2021,32,3,1,-4
2020,AUTOR,Me,32,15.6,4,0,0,1,0,1,2021,32,4,1,0
2020,AUTOR,Me,32,15.6,5,0,0,1,0,1,2021,32,5,1,0
2020,AUTOR,Me,32,15.6,6,0,0,1,0,1,2021,32,6,1,0
2020,AUTOR,Me,32,15.6,7,4,0,1,0,2,2021,32,7,1,-1
2020,AUTOR,Sh,33,4,1,0,0,1,0,1,2021,33,1,1,0
