year,thesis,length,shoot1yo,length1yo,rank1yo,c,v,m,b,#oss,#newshoots
2020,AUTOR,VLo,44,42.6,14,5,3,3,0,7,1
2020,AUTOR,Lo,45,34,1,0,1,0,0,1,0
2020,AUTOR,Lo,45,34,2,0,0,1,0,1,0
2020,AUTOR,Lo,45,34,3,0,0,1,0,1,1
2020,AUTOR,Lo,45,34,4,1,1,0,0,2,1
2020,AUTOR,Lo,45,34,5,0,1,0,0,1,1
2020,AUTOR,Lo,45,34,6,0,0,1,0,1,1
2020,AUTOR,Lo,45,34,7,0,0,1,0,1,1
2020,AUTOR,Lo,45,34,8,0,0,1,0,1,1
2020,AUTOR,Lo,45,34,9,0,0,1,0,1,1
2020,AUTOR,Lo,45,34,10,0,0,1,0,1,1
2020,AUTOR,Lo,45,34,11,0,0,1,0,1,1
2020,AUTOR,Lo,45,34,12,0,0,1,0,1,1
2020,AUTOR,Lo,45,34,13,0,0,2,0,2,1
2020,AUTOR,VLo,46,43,1,0,0,1,0,1,0
2020,AUTOR,VLo,46,43,2,0,0,1,0,1,1
2020,AUTOR,VLo,46,43,3,0,0,0,1,1,1
2020,AUTOR,VLo,46,43,4,0,0,1,0,1,1
2020,AUTOR,VLo,46,43,5,0,0,1,0,1,1
2020,AUTOR,VLo,46,43,6,3,0,2,0,3,1
2020,AUTOR,VLo,46,43,7,0,1,0,0,1,1
2020,AUTOR,VLo,46,43,8,0,0,1,0,1,2
2020,AUTOR,VLo,46,43,9,0,0,1,0,1,1
2020,AUTOR,VLo,46,43,10,0,0,1,0,1,2
