note,#ID,date,tesi,Fila,pianta,shoot,length (cm),diametro (mm),type,#nodes,internodo(cm),Amenti,Legno,Miste,cluster,nuts,Cieche,#osserv,oss/node,nut set,%M,%L,%A,%C,,,,,,
,90,2020,inne,3,3,90,29,4.31,Lo,10,2.90,10,7,7,1,3,0,24,2.40,43%,29%,29%,42%,0%,,,,,,
,91,2020,inne,3,3,91,46,6.71,VLo,16,2.88,12,12,8,3,7,2,34,2.13,88%,24%,35%,35%,6%,,,,,,
,92,2020,inne,3,3,92,10,3.29,Me,5,2.00,4,2,6,1,1,2,14,2.80,17%,43%,14%,29%,14%,,,,,,
,93,2020,inne,3,3,93,27,5.07,Lo,11,2.45,7,7,5,2,4,1,20,1.82,80%,25%,35%,35%,5%,,,,,,
,94,2020,inne,3,3,94,40,6.75,Lo,15,2.67,4,8,8,5,8,4,24,1.60,100%,33%,33%,17%,17%,,,,,,
,95,2020,inne,3,3,95,16,4.27,Me,8,2.00,7,3,4,0,0,2,16,2.00,0%,25%,19%,44%,13%,,,,,,
,96,2020,inne,3,3,96,9.5,3.83,Me,6,1.58,10,3,4,1,1,1,18,3.00,25%,22%,17%,56%,6%,,,,,,
,97,2020,inne,3,3,97,23.5,4.2,Lo,10,2.35,6,3,5,1,1,4,18,1.80,20%,28%,17%,33%,22%,,,,,,
,98,2020,inne,3,3,98,3,3,Sh,4,0.75,0,3,1,1,1,0,4,1.00,100%,25%,75%,0%,0%,,,,,,
,99,2020,inne,3,3,99,37,6.57,Lo,13,2.85,13,13,8,5,10,0,34,2.62,125%,24%,38%,38%,0%,,,,,,
,100,2020,inne,3,3,100,25,5.33,Lo,11,2.27,2,4,10,3,5,0,16,1.45,50%,63%,25%,13%,0%,,,,,,
,101,2020,inne,3,3,101,31.5,5.32,Lo,13,2.42,4,10,3,2,4,2,19,1.46,133%,16%,53%,21%,11%,,,,,,
,102,2020,inne,3,3,102,42.6,6.11,VLo,15,2.84,4,13,4,1,3,1,22,1.47,75%,18%,59%,18%,5%,,,,,,
,103,2020,inne,3,3,103,40.5,5.68,VLo,13,3.12,6,9,4,2,2,3,22,1.69,50%,18%,41%,27%,14%,,,,,,
,104,2020,inne,3,3,104,38,5.99,Lo,15,2.53,10,9,9,3,6,2,30,2.00,67%,30%,30%,33%,7%,,,,,,
,105,2020,inne,3,3,105,41.5,6.71,VLo,16,2.59,11,6,10,5,13,3,30,1.88,130%,33%,20%,37%,10%,,,,,,
,106,2020,inne,3,3,106,2.6,2.75,Sh,3,0.87,0,3,0,0,0,0,3,1.00,,0%,100%,0%,0%,,,,,,
,107,2020,inne,3,3,107,3,2.65,Sh,3,1.00,2,1,2,0,0,0,5,1.67,0%,40%,20%,40%,0%,,,,,,
,108,2020,inne,3,4,108,36.5,5.96,Lo,14,2.61,11,9,9,6,14,2,31,2.21,156%,29%,29%,35%,6%,,,,,,
,109,2020,inne,3,4,109,30,4.74,Lo,10,3.00,7,6,8,1,4,0,21,2.10,50%,38%,29%,33%,0%,,,,,,
,110,2020,inne,3,4,110,36.5,6.32,Lo,14,2.61,12,10,11,3,5,1,34,2.43,45%,32%,29%,35%,3%,,,,,,
