"tesi","Length","Diam","class","shoot","Tree","Length.node.","rank_node","normal_distance","median_distance","distance_abs","c","v","m","cl","nu","b","tot_buds","fate","new_shoots","from_","length2yo.cm.","length.newshoots","X.nodes2yo","c.1","v.1","m.1","cic.1","cl.1","B.1"
"AUTOR",41,7.17,"VLo",5,8,17,8,0.06,-1,1,1,0,0,0,0,0,2,"M",1,"SYL",1,"Sh",1,0,0,0,1,0,0
"AUTOR",41,7.17,"VLo",5,8,17,9,0,0,0,0,0,1,0,0,0,2,"V",1,"PROL",4.5,"Sh",5,1,4,0,0,0,2
"AUTOR",41,7.17,"VLo",5,8,17,9,0,0,0,0,1,0,1,4,0,2,"M",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,10,0.06,1,1,0,0,1,0,0,0,2,"V",1,"PROL",4,"Sh",6,3,4,1,0,0,2
"AUTOR",41,7.17,"VLo",5,8,17,10,0.06,1,1,0,1,0,1,4,0,2,"M",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,11,0.12,2,2,0,0,0,0,0,0,1,"M",1,"PROL",5,"Sh",5,0,5,0,1,0,0
"AUTOR",41,7.17,"VLo",5,8,17,12,0.18,3,3,0,0,0,1,3,0,1,"M",1,"PROL",3,"Sh",5,0,3,0,1,0,2
"AUTOR",41,7.17,"VLo",5,8,17,13,0.24,4,4,1,2,0,0,0,0,4,"V",1,"SYL",1.5,"Sh",3,1,3,0,0,0,1
"AUTOR",41,7.17,"VLo",5,8,17,13,0.24,4,4,1,2,0,0,0,0,4,"V",1,"SYL",2.5,"Sh",4,1,5,0,0,0,1
"AUTOR",41,7.17,"VLo",5,8,17,13,0.24,4,4,0,3,0,0,0,0,4,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,13,0.24,4,4,1,2,0,0,0,0,4,"V",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,14,0.29,5,5,0,0,0,0,0,0,1,"M",1,"PROL",4,"Sh",5,0,3,0,1,0,2
"AUTOR",41,7.17,"VLo",5,8,17,15,0.35,6,6,0,1,0,0,0,0,2,"V",1,"PROL",1,"Sh",3,0,1,1,1,0,0
"AUTOR",41,7.17,"VLo",5,8,17,15,0.35,6,6,0,1,0,0,0,0,2,"V",1,"PROL",1.5,"Sh",3,0,2,0,0,0,1
"AUTOR",41,7.17,"VLo",5,8,17,16,0.41,7,7,0,0,0,0,0,0,1,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",41,7.17,"VLo",5,8,17,17,0.47,8,8,0,0,0,1,1,0,1,"M",1,"PROL",3,"Sh",1,0,0,0,1,0,0
"AUTOR",14,4.34,"Me",6,8,7,1,0.43,-3,3,0,0,0,0,0,0,1,"V",1,"PROL",0.5,"Sh",2,0,0,1,0,0,1
"AUTOR",14,4.34,"Me",6,8,7,2,0.29,-2,2,0,0,0,0,0,0,1,"B",0,"PROL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",14,4.34,"Me",6,8,7,3,0.14,-1,1,1,1,0,0,0,0,3,"V",1,"SYL",3,"Sh",4,1,3,0,0,0,1
"AUTOR",14,4.34,"Me",6,8,7,3,0.14,-1,1,0,2,0,0,0,0,3,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",14,4.34,"Me",6,8,7,3,0.14,-1,1,1,1,0,0,0,0,3,"V",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",14,4.34,"Me",6,8,7,4,0,0,0,1,0,1,0,0,0,3,"M",1,"SYL",3,"Sh",1,0,0,0,1,0,0
"AUTOR",14,4.34,"Me",6,8,7,4,0,0,0,1,0,1,0,0,0,3,"M",1,"SYL",3,"Sh",1,0,0,0,1,0,0
"AUTOR",14,4.34,"Me",6,8,7,4,0,0,0,0,0,2,0,0,0,3,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",14,4.34,"Me",6,8,7,5,0.14,1,1,0,0,0,1,3,0,1,"M",1,"PROL",3,"Sh",4,0,2,0,1,0,2
"AUTOR",14,4.34,"Me",6,8,7,6,0.29,2,2,1,0,0,0,0,0,2,"V",1,"SYL",2,"Sh",2,0,2,0,0,0,0
"AUTOR",14,4.34,"Me",6,8,7,6,0.29,2,2,0,1,0,0,0,0,2,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",14,4.34,"Me",6,8,7,7,0.43,3,3,0,0,0,1,2,0,1,"M",1,"PROL",2,"Sh",4,0,2,0,1,0,1
"AUTOR",43,6.41,"VLo",7,8,14,1,0.46,-6.5,6.5,0,0,0,0,0,0,1,"M",1,"PROL",3,"Sh",3,0,2,0,1,0,1
"AUTOR",43,6.41,"VLo",7,8,14,2,0.39,-5.5,5.5,0,0,0,0,0,0,1,"B",1,"PROL",1,"Sh",3,0,1,0,0,0,2
