tesi,unit,length,unit_2,diam,class,shoot_ID,tree,Length(node),rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,43,mm,6.41,VLo,7,8,14,5,-2.5,-0.2,0.18,2.5,1,0,0,1,5,0,0,0,SYLLEPTIC,2,1,0,3,3
AUTOR,cm,43,mm,6.41,VLo,7,8,14,6,-1.5,-0.1,0.11,1.5,0,1,1,1,6,0,2,2,PROLEPTIC,1,,,,
AUTOR,cm,43,mm,6.41,VLo,7,8,14,7,-0.5,0,0.04,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,43,mm,6.41,VLo,7,8,14,8,0.5,0,0.04,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,43,mm,6.41,VLo,7,8,14,9,1.5,0.1,0.11,1.5,0,0,1,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,43,mm,6.41,VLo,7,8,14,10,2.5,0.2,0.18,2.5,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,43,mm,6.41,VLo,7,8,14,11,3.5,0.2,0.25,3.5,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,43,mm,6.41,VLo,7,8,14,12,4.5,0.3,0.32,4.5,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,43,mm,6.41,VLo,7,8,14,13,5.5,0.4,0.39,5.5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,43,mm,6.41,VLo,7,8,14,14,6.5,0.5,0.46,6.5,0,3,0,0,0,0,3,3,PROLEPTIC,3,,,,
AUTOR,cm,3,mm,2.34,Sh,8,8,3,1,-1,-0.3,0.33,1,0,1,0,0,0,0,1,1,PROLEPTIC,,,,,
AUTOR,cm,3,mm,2.34,Sh,8,8,3,2,0,0,0,0,0,0,1,0,0,0,1,1,PROLEPTIC,,,,,
AUTOR,cm,3,mm,2.34,Sh,8,8,3,3,1,0.3,0.33,1,1,0,0,0,0,0,0,0,SYLLEPTIC,,1,3,0,3
AUTOR,cm,30,mm,5.09,Lo,9,8,15,1,-7,-0.5,0.47,7,0,1,0,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,30,mm,5.09,Lo,9,8,15,2,-6,-0.4,0.4,6,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
