tesi,unit,parent_length_cm,unit_2,diam,class,shoot_ID,tree,parent_length_node,parent_rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,36.5,mm,5.81,Lo,38,8,10,4,-1.5,-0.1,0.15,1.5,1,0,0,1,2,0,0,0,SYLLEPTIC,2,1,0,6,6
AUTOR,cm,18,mm,4.46,Me,40,9,9,5,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,0,1
AUTOR,cm,18,mm,4.46,Me,40,9,9,6,1,0.1,0.11,1,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,1,3
AUTOR,cm,5.5,mm,3.9,Me,41,9,6,1,-2.5,-0.4,0.42,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,5.5,mm,3.9,Me,41,9,6,3,-0.5,-0.1,0.08,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,5.5,mm,3.9,Me,41,9,6,4,0.5,0.1,0.08,0.5,1,0,0,1,1,0,0,0,SYLLEPTIC,1,1,1,1,2
AUTOR,cm,7,mm,3.3,Me,42,9,6,4,0.5,0.1,0.08,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,3,0,3
AUTOR,cm,7,mm,3.3,Me,42,9,6,5,1.5,0.2,0.25,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,5,5
AUTOR,cm,42.6,mm,5.5,VLo,44,9,15,4,-4,-0.3,0.27,4,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,42.6,mm,5.5,VLo,44,9,15,14,6,0.4,0.4,6,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,2,3,5
AUTOR,cm,34,mm,5.4,Lo,45,9,13,4,-3,-0.2,0.23,3,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,43,mm,6.2,VLo,46,9,19,6,-4,-0.2,0.21,4,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,2,2
AUTOR,cm,43,mm,6.2,VLo,46,9,19,11,1,0.1,0.05,1,1,0,0,0,0,0,0,0,SYLLEPTIC,3,1,2,1,3
AUTOR,cm,43,mm,6.2,VLo,46,9,19,15,5,0.3,0.26,5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,43,mm,6.2,VLo,46,9,19,18,8,0.4,0.42,8,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,52,mm,7.36,VLo,47,9,20,7,-3.5,-0.2,0.17,3.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,3,0,3
AUTOR,cm,52,mm,7.36,VLo,47,9,20,10,-0.5,0,0.03,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,52,mm,7.36,VLo,47,9,20,12,1.5,0.1,0.07,1.5,1,0,0,1,2,0,0,0,SYLLEPTIC,3,1,2,1,3
AUTOR,cm,52,mm,7.36,VLo,47,9,20,16,5.5,0.3,0.28,5.5,1,0,0,1,3,0,0,0,SYLLEPTIC,1,1,1,1,2
AUTOR,cm,52,mm,7.36,VLo,47,9,20,19,8.5,0.4,0.42,8.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,1,3,4
AUTOR,cm,4.5,mm,2.6,Sh,48,9,6,5,1.5,0.2,0.25,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,2,3
AUTOR,cm,25,mm,4.52,Lo,49,9,12,5,-1.5,-0.1,0.12,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,0,2
AUTOR,cm,25,mm,4.52,Lo,49,9,12,7,0.5,0,0.04,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,2,3
